ID,Last Name,Initials,g,h,h_m,h_s,Include
654b7d0d10acd9ba1a6d6b87819cfc5e,STARZL,TE,186,121,65.1452,5.783667753,1
1ca84e9d5ed19e2fa48f590d1a6f6395,BERGER,MS,160,95,45.4167,4.540896169,1
a55159cb36ad6295d1d26fa38d054e50,BECKER,DP,150,81,37.5762,3.871711471,1
73b703fd6e232c9de697c1cc13fd1681,ALVAREZ-BUYLLA,A,151,81,35.3833,3.871711471,1
f11ead8a3651119d25f0f5fa206ffaf6,GIACCIA,AJ,153,78,36.9881,3.72831475,1
05e2b6e62e1320d4e708d6164d81ec6a,TANAKA,K,111,75,35.9952,3.584918028,1
0dc29aa9eb2b0ed97b864fc69fa8f8e1,SAWAYA,R,117,68,32.9286,3.250325679,1
8be29930afb6c183aafc96bc721f3177,BRENNER,MK,115,68,30.8595,3.250325679,1
ef8fe2ba50cc97e543391f9125cddac7,CHANG,SM,106,67,30.6167,3.202526772,1
9e00450a7c7320b3e91b890359a383fa,FOGEL,DB,148,66,47.2667,3.154727865,1
6a08f034c153230ca781da449f0b2726,MARTIN,NA,116,65,27.3833,3.106928958,1
173b744d2f231950f1e622c916e32b73,DAKE,MD,129,65,26.9024,3.106928958,1
a2dd38db0c2270a8f86c07bf49d3d6d6,ASCHER,NL,109,64,25,3.059130051,1
8d7e699c06ff53e67ebe76b292be812b,WAY,LW,93,60,31.7333,2.867934423,1
67a40080ca0d286e6a6badd624818480,DUH,QY,91,58,27.7833,2.772336609,1
df22447c86e518f65add9f9fd71a3ce6,FRIED,I,104,57,23.0167,2.724537702,1
6fd333906e0e83e647ebea1cadd49ec2,HARKEN,AH,92,56,29,2.676738795,1
a11f86b6951a58a1099491d867776f59,ESQUIVEL,CO,88,54,26.8167,2.58114098,1
e028ee77a54d1b81b28f7865ed5047d4,DOTY,J,101,54,25.8857,2.58114098,1
e84255f5bfcccd04896cd4421a55cf9d,AUSMAN,JI,79,53,29.5833,2.533342073,1
a5f15fb5863e7f269500df845b06db98,PERRY,A,86,53,25.8429,2.533342073,1
0573deb6591bf815ff27fa2622f16912,GROSSMAN,RG,92,49,22.9833,2.342146445,1
3718d8605d1f3f727f9f4c290b4654ae,CHERQUI,D,78,49,18.9833,2.342146445,1
41ba7cb25309c626c99a87744323f8b0,CHENG,CP,76,47,25.1036,2.246548631,1
06e076e4b7a6e05de4255b6d97f2797e,HUANG,M,119,47,21.8262,2.246548631,1
587b3ac10c089d1e923ec4df3605e471,WANG,SQ,113,46,21.9476,2.198749724,1
8ddfeb8f831af13d279123c6006dd803,COHEN,MJ,76,45,31.6667,2.150950817,1
666b4978898cbb84f448ef1fc14c2538,WRENSCH,M,72,45,19.8333,2.150950817,1
551ba4ee7c9ce50e4d5152c0b4db44cd,HE,B,85,45,15.3738,2.150950817,1
9cedd08cecfd0eec82877dc1c8cc4898,COLOMBANI,P,69,44,24.0262,2.10315191,1
14a33c0a4f64285203e481524f02bdf8,NITTI,D,68,44,20.5619,2.10315191,1
41ab928334fc05299eb052b85c02a684,BANKIEWICZ,KS,79,44,18.8,2.10315191,1
42d62d58dd0c2d0366a3f03c2579302b,MAZZAFERRO,V,89,43,16.6333,2.055353003,1
5935936ab5f64c306352124a371fc239,ADLER,JR,76,42,19.8167,2.007554096,1
a952fee66bdd919d6574dc2fab514bee,LIAU,LM,86,42,13.9667,2.007554096,1
1f0932394843026e21c1b6200b7ecfc3,ROMAGNOLI,R,61,41,21.95,1.959755189,1
bb111f3d35101dfba0414ff5b4493b7a,ALBANESE,CT,68,40,19.9667,1.911956282,1
8c22cc86b94bc9a658a674c909e68928,MOCELLIN,S,65,40,19.5262,1.911956282,1
039e5d4fb5ceefb2ef2044a33f2dcaac,CHANG,SD,67,40,18.5667,1.911956282,1
dcbca938c6aba014ba6faec4af4fd596,MORINO,M,79,39,16.9833,1.864157375,1
7ef6be2278ef28ecb9fbce90137e589c,ESSERMAN,L,75,38,18.969,1.816358468,1
6411c6664ef16fcd992e4a77c17226ad,CHENG,A,85,38,17.2,1.816358468,1
65c836e83291dbb13505f8a360b6e7ef,FEE JR,WE,57,38,16.9929,1.816358468,1
22a5209fa6c5d61a24497c2e30709a86,CHENG,CHK,64,37,19.9024,1.768559561,1
984fad44df66119ed4fa8f4c38a07aaf,EDWARDS,MS,69,37,19.8667,1.768559561,1
04c374ccd0852cb8cc429d23f6dfeab7,CARTER,J,54,37,17.7762,1.768559561,1
949d5e4a90ea71737609b4c395cdc301,GOLD,GE,61,37,14.8,1.768559561,1
599df5d7aad95af294c54a3eb1382c23,DAVIDSON,BR,63,35,19.8833,1.672961747,1
939c4c9eb8422f64346fc285781724a3,PARSA,AT,64,35,16.8857,1.672961747,1
7b34006c693e372adb40c379524343a2,GARZA,D,73,35,16.881,1.672961747,1
24ff037711ce28b2c320f0f61b6c0aea,FIKE,JR,76,35,14.7929,1.672961747,1
408bd9a9acc18f37830f69488e0d0853,DALMAN,RL,52,35,13.9333,1.672961747,1
b829d8cb57d02389ada3bade6df03963,DANNENBERG,RB,61,34,23.8833,1.62516284,1
aa7e0668c510cacf0a1793f524f7b4c0,LEAKE,PA,52,34,16.0333,1.62516284,1
be6151d26c92844f4b4f3d34d2f13aa1,SALIZZONI,M,66,34,14.85,1.62516284,1
45dd9a87da556af5b13513a1a6fb3835,VITALE,A,57,33,17.2833,1.577363933,1
0a3238e0f9f28ca36c22765eb69aa21d,BROHI,K,76,33,14.0595,1.577363933,1
7766ae89306b02c919ac2b6adf0166d7,BALOGH,Z,57,32,18.7667,1.529565025,1
